               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  83,              1.7339,              1.3289,              1.7183,             0.77837,             0.76548,             0.79778,              0.4806,                   0,                   0,                   0,           5.941e-05,           5.941e-05,           5.941e-05
                  84,              1.7309,              1.3154,              1.7166,              0.7733,             0.77014,             0.80525,             0.48509,                   0,                   0,                   0,          5.8915e-05,          5.8915e-05,          5.8915e-05
                  85,              1.7482,              1.3245,              1.7362,             0.78654,             0.74218,             0.79118,             0.47922,                   0,                   0,                   0,           5.842e-05,           5.842e-05,           5.842e-05
                  86,              1.7377,              1.3093,              1.7212,             0.77168,             0.75802,              0.7979,             0.48081,                   0,                   0,                   0,          5.7925e-05,          5.7925e-05,          5.7925e-05
                  87,              1.7403,              1.3143,              1.7261,             0.76213,             0.77214,             0.79735,             0.47469,                   0,                   0,                   0,           5.743e-05,           5.743e-05,           5.743e-05
                  88,              1.7393,              1.3026,              1.7181,             0.78673,             0.75581,             0.80223,             0.48255,                   0,                   0,                   0,          5.6935e-05,          5.6935e-05,          5.6935e-05
                  89,              1.7122,              1.2848,              1.7026,             0.77986,             0.76509,             0.80254,             0.48122,                   0,                   0,                   0,           5.644e-05,           5.644e-05,           5.644e-05
                  90,              1.7192,              1.3072,              1.7059,             0.77834,             0.75632,             0.79409,             0.47732,                   0,                   0,                   0,          5.5945e-05,          5.5945e-05,          5.5945e-05
                  91,              1.7231,              1.3017,              1.7157,             0.79293,             0.75416,             0.80209,             0.48774,                   0,                   0,                   0,           5.545e-05,           5.545e-05,           5.545e-05
                  92,              1.7213,              1.3055,              1.7224,             0.78374,             0.76263,             0.80317,             0.48767,                   0,                   0,                   0,          5.4955e-05,          5.4955e-05,          5.4955e-05
                  93,              1.7191,              1.2951,              1.7157,             0.79854,             0.76021,             0.80414,             0.48925,                   0,                   0,                   0,           5.446e-05,           5.446e-05,           5.446e-05
                  94,              1.7225,              1.2928,              1.7159,             0.78637,             0.76836,             0.80304,             0.47978,                   0,                   0,                   0,          5.3965e-05,          5.3965e-05,          5.3965e-05
                  95,              1.7198,              1.2885,              1.7033,             0.78054,              0.7593,              0.7994,             0.48231,                   0,                   0,                   0,           5.347e-05,           5.347e-05,           5.347e-05
                  96,              1.7021,              1.2773,              1.6959,             0.79416,             0.76009,             0.80199,             0.48575,                   0,                   0,                   0,          5.2975e-05,          5.2975e-05,          5.2975e-05
                  97,              1.7114,              1.2788,               1.701,             0.78124,             0.75901,             0.79617,             0.48542,                   0,                   0,                   0,           5.248e-05,           5.248e-05,           5.248e-05
